id,order_id,source_batch,reason_code,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,quarantined_at
1,O000027,1,INACTIVE_PRODUCT,2026-02-02 18:54:00,C0158,P017,4,1281.37,10,Cash,Online,2026-02-03 23:59:00,2026-08-18T06:00:50.835263+00:00
2,O000054,1,INACTIVE_PRODUCT,2026-03-06 15:56:00,C0115,P034,2,530.09,5,Cash,Store,2026-03-07 23:59:00,2026-08-18T06:00:50.835263+00:00
3,O000058,1,INACTIVE_PRODUCT,2026-02-27 23:57:00,C0069,P034,5,530.09,0,Bank Transfer,Store,2026-02-28 23:59:00,2026-08-18T06:00:50.835263+00:00
4,O000075,1,INACTIVE_PRODUCT,2026-02-12 07:26:00,C0016,P034,2,530.09,5,Cash,Marketplace,2026-02-13 23:59:00,2026-08-18T06:00:50.835263+00:00
5,O000083,1,MISSING_CUSTOMER_ID,2026-02-05 11:37:00,,P039,4,688.83,5,Cash,Online,2026-02-06 23:59:00,2026-08-18T06:00:50.835263+00:00
6,O000089,1,INVALID_QUANTITY,2026-03-04 08:25:00,C0030,P035,-2,997.99,10,Credit Card,Online,2026-03-05 23:59:00,2026-08-18T06:00:50.835263+00:00
7,O000097,1,INVALID_DATE,31/02/2026 10:00,C0110,P040,5,1472.44,0,Bank Transfer,Online,2026-03-03 23:59:00,2026-08-18T06:00:50.835263+00:00
8,O000101,1,INVALID_DISCOUNT_PCT,2026-02-28 22:40:00,C0151,P029,3,450.41,120,Credit Card,Store,2026-03-01 23:59:00,2026-08-18T06:00:50.835263+00:00
9,O000107,1,PRODUCT_NOT_FOUND,2026-03-03 15:13:00,C0130,P999,1,766,15,PromptPay,Store,2026-03-04 23:59:00,2026-08-18T06:00:50.835263+00:00
10,O000111,1,INACTIVE_PRODUCT,2026-01-26 19:08:00,C0064,P034,2,530.09,0,Credit Card,Online,2026-01-27 23:59:00,2026-08-18T06:00:50.835263+00:00
11,O000113,1,INVALID_QUANTITY,2026-01-03 03:35:00,C0039,P011,three,616.6,0,PromptPay,Marketplace,2026-01-04 23:59:00,2026-08-18T06:00:50.835263+00:00
12,O000131,1,INVALID_DATE,not-a-date,C0152,P037,1,185.91,5,Bank Transfer,Marketplace,2026-02-17 23:59:00,2026-08-18T06:00:50.835263+00:00
13,O000139,1,INVALID_UNIT_PRICE,2026-02-03 21:12:00,C0072,P039,4,nan,5,Cash,Online,2026-02-04 23:59:00,2026-08-18T06:00:50.835263+00:00
14,O000149,1,CUSTOMER_NOT_FOUND,2026-01-08 12:33:00,C9999,P039,4,688.83,10,PromptPay,Marketplace,2026-01-09 23:59:00,2026-08-18T06:00:50.835263+00:00
15,O000166,1,MISSING_CUSTOMER_ID,2026-01-18 04:01:00,,P027,4,817.79,10,PromptPay,Online,2026-01-19 23:59:00,2026-08-18T06:00:50.835263+00:00
16,O000178,1,INVALID_QUANTITY,2026-02-16 01:47:00,C0061,P026,-2,1185.43,0,PromptPay,Marketplace,2026-02-17 23:59:00,2026-08-18T06:00:50.835263+00:00
17,O000194,1,INVALID_DATE,31/02/2026 10:00,C0075,P003,3,344.85,10,Cash,Online,2026-03-20 23:59:00,2026-08-18T06:00:50.835263+00:00
18,O000202,1,INVALID_DISCOUNT_PCT,2026-01-15 10:38:00,C0161,P031,3,599.9,120,Credit Card,Online,2026-01-16 23:59:00,2026-08-18T06:00:50.835263+00:00
19,O000214,1,PRODUCT_NOT_FOUND,2026-01-04 07:12:00,C0043,P999,6,1451.77,0,PromptPay,Store,2026-01-05 23:59:00,2026-08-18T06:00:50.835263+00:00
20,O000226,1,INVALID_QUANTITY; INACTIVE_PRODUCT,2026-03-21 10:12:00,C0153,P017,three,1281.37,0,Bank Transfer,Online,2026-03-22 23:59:00,2026-08-18T06:00:50.835263+00:00
21,O000249,1,MISSING_CUSTOMER_ID,2026-02-07 21:50:00,,P025,5,833.67,15,Credit Card,Online,2026-02-08 23:59:00,2026-08-18T06:00:50.835263+00:00
22,O000258,1,INACTIVE_PRODUCT,2026-03-13 11:31:00,C0058,P017,1,1281.37,0,Bank Transfer,Online,2026-03-14 23:59:00,2026-08-18T06:00:50.835263+00:00
23,O000262,1,INVALID_DATE,not-a-date,C0097,P044,5,766,0,Credit Card,Store,2026-02-03 23:59:00,2026-08-18T06:00:50.835263+00:00
24,O000267,1,INVALID_QUANTITY,2026-01-02 16:42:00,C0095,P042,-2,733.19,0,PromptPay,Marketplace,2026-01-03 23:59:00,2026-08-18T06:00:50.835263+00:00
25,O000278,1,INVALID_UNIT_PRICE,2026-02-01 02:14:00,C0022,P035,4,nan,0,PromptPay,Marketplace,2026-02-02 23:59:00,2026-08-18T06:00:50.835263+00:00
26,O000284,1,INACTIVE_PRODUCT,2026-01-05 17:05:00,C0110,P017,3,1281.37,10,Cash,Online,2026-01-06 23:59:00,2026-08-18T06:00:50.835263+00:00
27,O000291,1,INVALID_DATE,31/02/2026 10:00,C0165,P041,2,1291.92,0,Cash,Online,2026-01-06 23:59:00,2026-08-18T06:00:50.835263+00:00
28,O000298,1,CUSTOMER_NOT_FOUND,2026-01-14 00:46:00,C9999,P037,2,185.91,10,Bank Transfer,Store,2026-01-15 23:59:00,2026-08-18T06:00:50.835263+00:00
29,O000303,1,INVALID_DISCOUNT_PCT,2026-03-02 22:11:00,C0137,P007,4,619.54,120,PromptPay,Online,2026-03-03 23:59:00,2026-08-18T06:00:50.835263+00:00
30,O000318,1,INACTIVE_PRODUCT,2026-01-02 00:14:00,C0134,P017,5,1281.37,0,Credit Card,Store,2026-01-03 23:59:00,2026-08-18T06:00:50.835263+00:00
31,O000321,1,PRODUCT_NOT_FOUND,2026-01-12 07:42:00,C0073,P999,5,624.66,10,Bank Transfer,Online,2026-01-13 23:59:00,2026-08-18T06:00:50.835263+00:00
